ax,ay,az,gx,gy,gz,tg
-3647,3616,-682,7225,458,1126,1
73,3834,-3883,6668,-4406,3466,1
2756,3321,-3265,4322,-3334,1407,1
2822,-425,2012,3545,-2999,1021,1
2353,-8735,7466,822,-3651,-166,1
-5389,-12176,19813,1592,6164,-6187,1
-4773,-7938,5423,4901,547,3177,1
6000,-3340,2779,3998,-570,4432,1
2771,411,-768,2470,3342,-417,1
-2117,4893,-4782,2371,1213,850,1
-527,8519,-7025,2766,-626,1417,1
2535,8829,-10529,2552,3618,-806,1
2334,6884,-11774,2995,195,274,1
3235,5703,-8997,1657,-2523,-711,1
71,3808,-5131,-271,-2149,-2268,1
-412,1522,-1185,427,-2463,-1093,1
309,-3090,-1369,529,-3321,687,1
3110,-10644,42,-4745,-5386,1914,1
5674,-11297,-32550,-8252,1693,-7231,1
-16155,-7962,22022,2663,3485,656,1
4809,-6690,3831,5945,-2763,9096,1
12595,-927,-547,1850,1078,4160,1
5384,2325,-580,-733,3846,-2695,1
-1678,7618,-4562,-757,1259,-3025,1
-7173,9255,-7136,389,1739,-2216,1
1998,8908,-11114,1057,-2059,2870,1
2946,6753,-6117,-374,-1980,51,1
-476,4041,-2055,183,-2010,-517,1
442,-383,-2674,1302,-4444,872,1
5372,-7218,-1215,-3846,-4054,3400,1
12688,-10742,20009,-11829,-3025,-3071,1
-4559,-12190,29591,-3919,9084,-7442,1
-5984,-9770,8433,3142,3649,2984,1
6985,-5476,2210,2500,-1256,6055,1
6602,-1605,-1788,-2507,5101,-212,1
-915,1743,-732,-3499,4363,-648,1
398,6668,-3617,-3108,559,-182,1
398,8033,-6203,-4671,208,-3609,1
-5880,12731,-7271,-6097,1287,-2308,1
-2408,14104,-1645,-5071,-597,1451,1
2204,10206,4389,-2128,596,-1194,1
-2827,5172,2451,975,425,-2309,1
-935,-445,161,2649,-6941,1510,1
5973,-12352,4025,1148,-3871,1306,1
7561,-17118,11246,-5793,5743,-7274,1
965,-11157,1323,4123,-3496,7684,1
7795,-4007,-1008,-618,98,3000,1
-8,478,-1739,-3114,4011,-349,1
-1239,6206,-1549,-3157,524,1379,1
-346,14735,-1470,-2513,-1884,1727,1
4144,17259,-2055,-1978,1374,-1323,1
-2865,11558,2778,195,2236,-2591,1
-3470,5559,1443,5068,-2117,-536,1
-2486,1788,-4136,5689,-6527,1750,1
2367,-2877,-4238,3399,-5850,2391,1
5646,-10955,-1614,-1747,-3652,2345,1
11897,-15267,23425,-9088,458,-4512,1
-15375,-16237,27007,-480,7654,-8375,1
-5456,-11281,5677,5166,-358,9038,1
10568,-2920,-906,1512,-580,3691,1
